index,stamp_sec,stamp_nanosec,pcd_file,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
0,1782418047,242038249,keyframe_000000.pcd,0.999998163799,0.001821800416,0.000594510032,-0.017908209327,-0.001822074172,0.999998234103,0.000460256935,0.003577529678,-0.000593670485,-0.000461339331,0.999999717361,-0.014022329017,0.000000000000,0.000000000000,0.000000000000,1.000000000000
1,1782418109,742502212,keyframe_000001.pcd,0.999711939928,0.023987812165,-0.000788691255,1.163703050736,-0.023993377816,0.999679864382,-0.008030353061,-0.653438672642,0.000595808166,0.008046963204,0.999967445168,0.706195549025,0.000000000000,0.000000000000,0.000000000000,1.000000000000
2,1782418112,941992521,keyframe_000002.pcd,0.999530288936,0.029964580888,0.006428482865,2.436998051331,-0.029876251880,0.999463480524,-0.013422394407,-0.881560099494,-0.006827230281,0.013224030787,0.999889250836,1.479867791347,0.000000000000,0.000000000000,0.000000000000,1.000000000000
3,1782418115,242502927,keyframe_000003.pcd,0.999656522609,0.025960828606,0.003587782400,3.723389686574,-0.025923051884,0.999611875925,-0.010202592391,-0.947920752710,-0.003851257648,0.010106081762,0.999941515753,2.263773693915,0.000000000000,0.000000000000,0.000000000000,1.000000000000
4,1782418117,142468690,keyframe_000004.pcd,0.999514434993,0.030515876115,0.006298852763,4.994840243851,-0.030426579022,0.999441507442,-0.013816529628,-0.840891095029,-0.006716958407,0.013618168264,0.999884707335,3.061907883297,0.000000000000,0.000000000000,0.000000000000,1.000000000000
5,1782418118,942475557,keyframe_000005.pcd,0.999971995970,0.006920528311,0.002848431867,6.285379924156,-0.006928482149,0.999972099973,0.002792026106,-0.877992467485,-0.002829030100,-0.002811683227,0.999992045481,3.854013012867,0.000000000000,0.000000000000,0.000000000000,1.000000000000
6,1782418121,241222858,keyframe_000006.pcd,0.243169545689,-0.819921214177,-0.518264193817,7.243123117720,0.872595095267,-0.048428202826,0.486037559131,0.096568543023,-0.423611109114,-0.570424326019,0.703682965917,4.500232531973,0.000000000000,0.000000000000,0.000000000000,1.000000000000
7,1782418123,42202472,keyframe_000007.pcd,0.184967586303,-0.805146764618,-0.563494169839,7.010857600368,0.864996751624,-0.138764010376,0.482208636490,1.588829424295,-0.466441434371,-0.576613594055,0.670782491910,4.436480937763,0.000000000000,0.000000000000,0.000000000000,1.000000000000
8,1782418124,642601251,keyframe_000008.pcd,0.176408685160,-0.806361783919,-0.564500353618,6.878805361385,0.863735619056,-0.148225154762,0.481653489419,3.149387422565,-0.472060119237,-0.572546921161,0.670335189957,4.445370470746,0.000000000000,0.000000000000,0.000000000000,1.000000000000
9,1782418129,642755985,keyframe_000009.pcd,-0.436439942741,0.153531086684,-0.886537298596,6.223544463263,-0.040781555008,-0.987696286146,-0.150973213203,4.483257326834,-0.898808678836,-0.029736370917,0.437331347028,4.122592292293,0.000000000000,0.000000000000,0.000000000000,1.000000000000
